2026-02-18 07:53:09,679 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2026-02-18 07:53:09,679 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,681 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,681 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2026-02-18 07:53:09,681 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:09,681 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:09,681 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale it).
2026-02-18 07:53:09,691 [main] INFO  marytts.JTokeniser Starting power-on self test.
2026-02-18 07:53:09,701 [main] INFO  marytts.JTokeniser Power-on self test complete.
2026-02-18 07:53:09,701 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale it).
2026-02-18 07:53:09,701 [main] INFO  marytts.Preprocess Starting power-on self test.
2026-02-18 07:53:09,701 [main] INFO  marytts.Preprocess Expanding say-as elements...
2026-02-18 07:53:09,701 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2026-02-18 07:53:09,704 [main] INFO  marytts.Preprocess Done.
2026-02-18 07:53:09,704 [main] INFO  marytts.Preprocess Power-on self test complete.
2026-02-18 07:53:09,704 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2026-02-18 07:53:09,704 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2026-02-18 07:53:09,704 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2026-02-18 07:53:09,704 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2026-02-18 07:53:09,765 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2026-02-18 07:53:09,766 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2026-02-18 07:53:09,767 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale it).
